PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,0,,,,,,2,CAPS score ≤19,0.41,,,angelakis2020_ITT_A_0_2
1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,26,1,CAPS loss of diagnosis,0.36,,,1,CAPS change of more than 12 points and total score <45,0.59,,,angelakis2020_ITT_A_26_1
1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,26,,,,,,2,CAPS score ≤19,0.35,,,angelakis2020_ITT_A_26_2
1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,0,1,CAPS loss of diagnosis,0.35,,,1,CAPS change of more than 12 points and total score <45,0.62,,,angelakis2020_ITT_B_0_1
1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,0,,,,,,2,CAPS score ≤19,0.17,,,angelakis2020_ITT_B_0_2
1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,26,1,CAPS loss of diagnosis,0.44,,,1,CAPS change of more than 12 points and total score <45,0.64,,,angelakis2020_ITT_B_26_1
1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,26,,,,,,2,CAPS score ≤19,0.26,,,angelakis2020_ITT_B_26_2
1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,0,1,CAPS loss of diagnosis,0.67,,,1,CAPS change of more than 12 points and total score <45,0.78,,,angelakis2020_ITT_C_0_1
1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,0,,,,,,2,CAPS score ≤19,0.57,,,angelakis2020_ITT_C_0_2
1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,26,1,CAPS loss of diagnosis,0.81,,,1,CAPS change of more than 12 points and total score <45,0.76,,,angelakis2020_ITT_C_26_1
1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,26,,,,,,2,CAPS score ≤19,0.55,,,angelakis2020_ITT_C_26_2
30284,arntz2007,Completer,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.619,13,21,arntz2007_Completer_A_0_1
30284,arntz2007,Completer,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,4,,,,,,1,PSS-SR (Dutch version) score ≤20,0.4762,10,21,arntz2007_Completer_A_4_1
30284,arntz2007,ITT,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5357,15,28,arntz2007_ITT_A_0_1
30284,arntz2007,ITT,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,4,,,,,,1,PSS-SR (Dutch version) score ≤20,0.4286,12,28,arntz2007_ITT_A_4_1
30284,arntz2007,Completer,IE,Imaginal exposure,B,,,0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.6316,12,19,arntz2007_Completer_B_0_1
30284,arntz2007,Completer,IE,Imaginal exposure,B,,,4,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5789,11,19,arntz2007_Completer_B_4_1
30284,arntz2007,ITT,IE,Imaginal exposure,B,,,0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5897,23,39,arntz2007_ITT_B_0_1
30284,arntz2007,ITT,IE,Imaginal exposure,B,,,4,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5385,21,39,arntz2007_ITT_B_4_1
30284,arntz2007,Completer,Waitlist,Waitlist,C,,,0,,,,,,1,PSS-SR (Dutch version) score ≤20,,,,arntz2007_Completer_C_0_1
