,PTSDpubs_ID,Study_ID,Analysis_Type,Treatment_Name,Standardized_Treatment_Name,Interv_Group,Missing_Data_Method,Stats_Analysis_Method,Assessment_Point,Diag_Change_Def_Num,Diag_Change_Definition,Percent_Diag_Change,Diag_Change_Numerator,Diag_Change_Denominator,Clin_Meaningful_Def_Num,Clin_Meaningful_Def,Pcnt_Clin_Meaningful_Resp,Clin_Meaningful_Numerator,Clin_Meaningful_Denominator,Row_ID,bad_data,any_outliers,potential_issues,Treatment_Name_Cleaned,Treatment_Category
20,1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,0.0,,,,,,2,CAPS score ≤19,0.17,,,angelakis2020_ITT_B_0_2,False,False,False,Behavioral Activation/Cognitive Processing Therapy,Other
21,1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,26.0,1,CAPS loss of diagnosis,0.44,,,1,CAPS change of more than 12 points and total score <45,0.64,,,angelakis2020_ITT_B_26_1,False,False,False,Behavioral Activation/Cognitive Processing Therapy,Other
22,1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,26.0,,,,,,2,CAPS score ≤19,0.26,,,angelakis2020_ITT_B_26_2,False,False,False,Behavioral Activation/Cognitive Processing Therapy,Other
23,1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,0.0,1,CAPS loss of diagnosis,0.67,,,1,CAPS change of more than 12 points and total score <45,0.78,,,angelakis2020_ITT_C_0_1,False,False,False,Cognitive Processing Therapy/Behavioral Activation,Other
24,1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,0.0,,,,,,2,CAPS score ≤19,0.57,,,angelakis2020_ITT_C_0_2,False,False,False,Cognitive Processing Therapy/Behavioral Activation,Other
25,1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,26.0,1,CAPS loss of diagnosis,0.81,,,1,CAPS change of more than 12 points and total score <45,0.76,,,angelakis2020_ITT_C_26_1,False,False,False,Cognitive Processing Therapy/Behavioral Activation,Other
26,1560706,angelakis2020,ITT,Cognitive Processing Therapy/Behavioral Activation,Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA),C,,Bayesian binomial model,26.0,,,,,,2,CAPS score ≤19,0.55,,,angelakis2020_ITT_C_26_2,False,False,False,Cognitive Processing Therapy/Behavioral Activation,Other
27,30284,arntz2007,Completer,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,0.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.619,13.0,21.0,arntz2007_Completer_A_0_1,False,False,False,Imaginal Exposure + Imagery Rescripting,Other
28,30284,arntz2007,Completer,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,4.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.4762,10.0,21.0,arntz2007_Completer_A_4_1,False,False,False,Imaginal Exposure + Imagery Rescripting,Other
29,30284,arntz2007,ITT,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,0.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5357,15.0,28.0,arntz2007_ITT_A_0_1,False,False,False,Imaginal Exposure + Imagery Rescripting,Other
30,30284,arntz2007,ITT,Imaginal Exposure + Imagery Rescripting,Imaginal exposure + imagery rescripting,A,,,4.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.4286,12.0,28.0,arntz2007_ITT_A_4_1,False,False,False,Imaginal Exposure + Imagery Rescripting,Other
31,30284,arntz2007,Completer,IE,Imaginal exposure,B,,,0.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.6316,12.0,19.0,arntz2007_Completer_B_0_1,False,False,False,IE,Other
32,30284,arntz2007,Completer,IE,Imaginal exposure,B,,,4.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5789,11.0,19.0,arntz2007_Completer_B_4_1,False,False,False,IE,Other
33,30284,arntz2007,ITT,IE,Imaginal exposure,B,,,0.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5897,23.0,39.0,arntz2007_ITT_B_0_1,False,False,False,IE,Other
34,30284,arntz2007,ITT,IE,Imaginal exposure,B,,,4.0,,,,,,1,PSS-SR (Dutch version) score ≤20,0.5385,21.0,39.0,arntz2007_ITT_B_4_1,False,False,False,IE,Other
35,30284,arntz2007,Completer,Waitlist,Waitlist,C,,,0.0,,,,,,1,PSS-SR (Dutch version) score ≤20,,,,arntz2007_Completer_C_0_1,False,False,False,Waitlist,Waitlist
36,,astillwright2023,Completer,Rewind psychotherapy protocol,Trauma-focused psychotherapy,A,Complete case analysis,Descriptive only,0.0,1,No longer meeting PTSD criteria on CAPS-5,0.5882,10.0,17.0,,,,,,astillwright2023_Completer_A_0_1,False,False,False,Rewind psychotherapy protocol,Other
37,,astillwright2023,Completer,Rewind psychotherapy protocol,Trauma-focused psychotherapy,A,Complete case analysis,Descriptive only,8.0,1,No longer meeting PTSD criteria on CAPS-5,0.6471,11.0,17.0,,,,,,astillwright2023_Completer_A_8_1,False,False,False,Rewind psychotherapy protocol,Other
38,,astillwright2023,Completer,Waitlist,Waitlist,B,Complete case analysis,Descriptive only,0.0,1,No longer meeting PTSD criteria on CAPS-5,0.2,3.0,15.0,,,,,,astillwright2023_Completer_B_0_1,False,False,False,Waitlist,Waitlist
39,51384,back2019,Completer,COPE,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE),A,,,0.0,1,CAPS-IV score <50,0.828,24.0,29.0,,,,,,back2019_Completer_A_0_1,False,False,False,COPE,Other
40,51384,back2019,ITT,COPE,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE),A,,,0.0,1,CAPS-IV score <50,0.593,32.0,54.0,,,,,,back2019_ITT_A_0_1,False,False,False,COPE,Other
41,51384,back2019,Completer,Relapse Prevention,Relapse Prevention,B,,,0.0,1,CAPS-IV score <50,0.385,5.0,13.0,,,,,,back2019_Completer_B_0_1,False,False,False,Relapse Prevention,Other
42,51384,back2019,ITT,Relapse Prevention,Relapse Prevention,B,,,0.0,1,CAPS-IV score <50,0.222,6.0,27.0,,,,,,back2019_ITT_B_0_1,False,False,False,Relapse Prevention,Other
43,32054,beck2009,Completer,Group CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.8824,15.0,17.0,1,RCI for CAPS,0.8235,14.0,17.0,beck2009_Completer_A_0_1,False,False,False,Group CBT,Other
44,32054,beck2009,Completer,Group CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0.0,,,,,,2,RCI for IES-R,0.4706,8.0,17.0,beck2009_Completer_A_0_2,False,False,False,Group CBT,Other
45,32054,beck2009,Completer,Minimum contact,Minimal attention,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.3125,5.0,16.0,1,RCI for CAPS,0.3125,5.0,16.0,beck2009_Completer_B_0_1,False,False,False,Minimum contact,Other
46,32054,beck2009,Completer,Minimum contact,Minimal attention,B,,,0.0,,,,,,2,RCI for IES-R,0.375,6.0,16.0,beck2009_Completer_B_0_2,False,False,False,Minimum contact,Other
47,1574199,beck2021,Completer,Trauma-focused psychotherapy with music and imagery,Trauma-focused psychotherapy + music therapy,A,,Fisher's exact test,26.0,,,,,,1,HTQ score <2.5,0.286,10.0,35.0,beck2021_Completer_A_26_1,False,False,False,Trauma-focused psychotherapy with music and imagery,Other
48,1574199,beck2021,Completer,Trauma-focused psychotherapy as usual,Trauma-focused psychotherapy,B,,Fisher's exact test,26.0,,,,,,1,HTQ score <2.5,0.111,2.0,18.0,beck2021_Completer_B_26_1,False,False,False,Trauma-focused psychotherapy as usual,Other
